,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
453,4/21/2017,The Promise,90000000,8224288,10524093
454,11/24/2010,The Nutcracker in 3D,90000000,195459,20466016
455,12/22/2017,Bright,90000000,0,0
456,5/10/1996,Twister,88000000,241688385,495700000
457,6/3/2005,Cinderella Man,88000000,61649911,105021488
458,7/8/2005,Fantastic Four,87500000,154696080,333132750
459,2/9/2001,Hannibal,87000000,165092266,350100280
460,7/25/2003,Seabiscuit,86000000,120277854,148715342
461,12/22/2000,Cast Away,85000000,233632142,427230516
462,11/17/2006,Happy Feet,85000000,198000317,385000317
463,12/7/2001,Ocean's Eleven,85000000,183417150,450728529
464,7/23/2004,The Bourne Supremacy,85000000,176087450,288587450
465,7/25/1997,Air Force One,85000000,172956409,315268353
466,4/3/2009,Fast & Furious,85000000,155064265,363064265
467,3/14/2008,Horton Hears a Who,85000000,154529439,299477886
468,3/21/2014,Divergent,85000000,150947895,276014965
469,9/28/2012,Hotel Transylvania,85000000,148313048,378505812
470,11/21/2007,Enchanted,85000000,127706877,340384141
471,2/10/2012,Safe House,85000000,126181630,208542162
472,7/20/2007,I Now Pronounce You Chuck and Larry,85000000,119725280,185708462
473,6/8/2007,Ocean's Thirteen,85000000,117144465,311744465
474,12/25/2009,Itâs Complicated,85000000,112735375,224614744
475,11/20/1998,Enemy of the State,85000000,111549836,250649836
476,9/29/2006,Open Season,85000000,85105259,191932158
477,11/4/2011,Tower Heist,85000000,78046570,150422946
478,11/22/2000,102 Dalmatians,85000000,66941559,66941559
479,3/30/2012,Mirror Mirror,85000000,64935167,173613482
480,12/8/2006,The Holiday,85000000,63280000,205190324
481,6/16/2006,The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205
482,12/9/2005,Memoirs of a Geisha,85000000,57010853,161510853
483,3/16/2001,Enemy at the Gates,85000000,51396781,96971293
484,6/18/1993,Last Action Hero,85000000,50016394,137298489
485,9/26/2003,The Rundown,85000000,47641743,80831893
486,11/23/2011,Arthur Christmas,85000000,46462469,149717124
487,1/20/2017,xXx: Return of Xander Cage,85000000,44898413,345053084
488,11/13/1998,Meet Joe Black,85000000,44650003,44650003
489,7/30/2010,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383
490,2/8/2002,Collateral Damage,85000000,40048332,78353508
491,3/15/2002,Showtime,85000000,37948765,78948765
492,6/30/1995,Judge Dredd,85000000,34687912,113487912
493,3/2/2007,Zodiac,85000000,33080084,83080084
494,8/13/2010,Scott Pilgrim vs. The World,85000000,31611316,48056764
