,Genre,Language,Nudity,Rating,Sex,Title,Violence
152,Comedy,None,None,Not Rated,Light,Altar Egos,Light
153,Horror,Light,None,,Light,Winchester,Medium
154,Drama,Heavy,Heavy,R,Heavy,All I See Is You,Medium
155,Science Fiction,Heavy,None,PG-13,None,Maze Runner: The Death Cure,Medium
156,,Light,None,PG-13,Light,Crooked House,Light
157,Documentary,None,None,Not Rated,Light,Connect,None
158,Documentary,Light,None,Not Rated,None,The Final Year,Light
159,Fantasy,Medium,None,PG,None,Mighty Joe Young,Medium
160,Thriller,Heavy,Medium,R,Light,Den Of Thieves,Medium
161,Animation,Light,Light,PG,None,Condorito: The Movie,Light
162,Drama,Light,Light,PG,Light,Forever My Girl,None
163,Thriller,Medium,Light,R,Light,Proud Mary,Heavy
164,Drama,Light,None,Not Rated,None,Youth (2017),Heavy
165,Drama,Light,None,Not Rated,None,Chasing The Star,Light
166,Fantasy,Medium,None,PG-13,Light,"Journey To The West, The Demons Strike Back",Heavy
167,Action Adventure,Light,None,Not Rated,None,Kung Fu Yoga,Medium
168,Romance,Light,Light,Not Rated,Light,Columbus,None
169,Thriller,Medium,None,,None,The Commuter,Medium
170,Comedy,Light,None,PG,None,Paddington 2,Light
171,Horror,Light,None,PG-13,None,Insidious: The Last Key,Medium
172,Drama,None,Heavy,R,Medium,The Exception,None
173,Drama,Heavy,None,R,None,12 Strong,Medium
174,Drama,Heavy,None,Not Rated,Medium,The Battleship Island,Heavy
175,Comedy,Light,Medium,Not Rated,None,The Women’S Balcony,Light
176,Drama,Heavy,Light,R,Medium,Mudbound,Heavy
177,Drama,Medium,Light,R,Light,In The Fade,Heavy
178,Fantasy,Heavy,Medium,NR,Light,Bright,Heavy
179,Drama,Medium,Medium,R,Light,Phantom Thread,Light
180,Comedy,Heavy,Light,R,Medium,Father Figures,Medium
181,Western,Medium,None,R,Light,Hostiles,Heavy
182,Musical,Light,Light,PG,Light,The Greatest Showman,Light
183,Documentary,None,None,PG-13,Light,Alien Intrusion:  Unmasking A Deception,Light
184,Comedy,Medium,None,PG-13,Light,Pitch Perfect 3,Light
185,Drama,Medium,Medium,R,Light,All The Money In The World,Heavy
186,Drama,Light,Light,R,Light,Happy End,Light
187,Drama,Medium,Medium,R,Medium,My Friend Dahmer,Heavy
188,Drama,Heavy,None,R,Medium,The Leisure Seeker,Light
189,Animation,None,None,PG,None,Ferdinand,Light
190,Comedy,Heavy,None,PG-13,Light,Jumanji: Welcome To The Jungle,Medium
191,Science Fiction,Light,Light,PG-13,None,Star Wars:  The Last Jedi,Medium
192,Animated,None,None,PG,None,Yu-Gi-Oh!:  The Dark Side Of Dimensions,Medium
193,Drama,Heavy,None,PG-13,None,The Post,Medium
194,Drama,Heavy,Medium,R,Medium,Film Stars Don’T Die In Liverpool,Light
195,Drama,Light,Light,Not Rated,None,Viceroy’S House,Medium
196,Documentary,None,Light,Not Rated,Medium,Jane,Light
197,Comedy,Heavy,None,PG-13,Light,Just Getting Started,Light
198,Crime Drama,Heavy,None,R,Light,Molly’S Game,Medium
199,Comedy,Heavy,Heavy,R,Medium,The Disaster Artist,Light
200,Drama,Heavy,Light,R,Medium,"I, Tonya",Medium
201,Drama,Medium,Heavy,R,Medium,Loveless,None
202,Fantasy,Heavy,Heavy,R,Heavy,The Shape Of Water,Heavy
203,Comedy,Heavy,Heavy,R,Medium,Downsizing,Medium
204,Drama,Heavy,Light,PG-13,Medium,Wonder Wheel,Medium
205,Drama,Light,Medium,R,Heavy,Call Me By Your Name,Light
206,Drama,Heavy,Heavy,R,Medium,Lady Bird,Light
207,Drama,None,Light,Not Rated,Light,"The Salt Of The Earth, Gunpei Yamamuro",Medium
208,Science Fiction,Medium,Light,PG-13,None,Justice League,Medium
209,Drama,Heavy,None,R,Light,"Three Billboards Outside Ebbing, Missouri",Heavy
210,Drama,Medium,None,PG-13,None,"Roman J. Israel, Esq.",Light
211,Comedy,Light,None,PG,None,Wonder,Light
212,Drama,Light,None,PG-13,None,Darkest Hour,Light
213,Animated,None,Light,PG,Light,Coco,Medium
214,Documentary,None,None,PG,None,Genesis:  Paradise Lost,None
215,Animation,None,None,PG,None,The Star,Light
216,Documentary,Medium,None,Not Rated,None,No Greater Love (2017),Medium
217,Comedy,Medium,None,PG-13,Light,Daddy’S Home 2,Light
218,Mystery,Heavy,None,PG-13,Light,Murder On The Orient Express (2017),Medium
219,Documentary,None,Light,Not Rated,None,The Love Story Of Leonard Knight,None
220,Horror,Light,None,Not Rated,Medium,Thelma,Medium
221,Drama,Heavy,None,R,Light,Lbj,Medium
222,Drama,None,None,PG,None,Te Ata,None
223,Comedy,Heavy,Medium,R,Medium,A Bad Moms Christmas,Light
224,Drama,Medium,Medium,R,Medium,Novitiate,Light
225,Comedy,None,None,PG,None,The Man Who Invented Christmas,Light
226,Documentary,Light,Light,Not Rated,Light,I’Ll Push You,None
227,Horror,Heavy,None,R,None,Jigsaw (2017),Heavy
228,Comedy,Heavy,None,R,Light,Suburbicon,Medium
229,Comedy,Heavy,Medium,R,Medium,The Square,Medium
230,Horror,Light,Medium,R,Medium,The Killing Of A Sacred Deer,Heavy
231,Animated,Light,None,PG-13,Light,Loving Vincent,Medium
232,Drama,Light,Light,PG-13,Light,On Wings Of Eagles,Medium
233,Drama,Heavy,Light,R,Medium,Thank You For Your Service,Heavy
234,Drama,None,None,Not Rated,Light,The Fortress,Heavy
235,Drama,Medium,Light,PG-13,Light,Breathe,Light
236,Science Fiction,Medium,Light,PG-13,Light,Geostorm,Medium
237,Horror,Heavy,Medium,R,Medium,Leatherface,Heavy
238,Thriller,Medium,Medium,R,Light,The Snowman,Heavy
239,Comedy,Heavy,Light,PG-13,Medium,Tyler Perry’S Boo 2! A Madea Halloween,Light
240,Drama,Heavy,None,R,Light,Last Flag Flying,None
241,Drama,Heavy,Medium,R,Heavy,Professor Marston And The Wonder Women,Light
242,Science Fiction,Medium,Light,PG-13,Light,Thor: Ragnarok,Medium
243,Thriller,Heavy,Light,R,Light,The Foreigner,Heavy
244,Thriller,Heavy,None,PG-13,Light,Happy Death Day,Medium
245,Comedy,Heavy,Heavy,R,Heavy,Hazlo Como Hombre (Do It Like A Man),Light
246,Drama,Medium,Light,PG-13,Medium,Marshall,Medium
247,Drama,Light,Light,PG,None,Wonderstruck,Light
248,Drama,Medium,None,PG-13,None,Mark Felt: The Man Who Brought Down The White House,None
249,Documentary,None,Light,Not Rated,Light,Dealt,Medium
250,Drama,Heavy,Light,R,Medium,The Florida Project,Medium
251,Drama,Medium,None,PG-13,Light,Rebel In The Rye,Medium
252,Thriller,Light,None,PG-13,Light,‘Til Death Do Us Part,Medium
253,Science Fiction,Medium,Heavy,R,Medium,Blade Runner 2049,Heavy
254,Animation,None,None,PG,None,My Little Pony:  The Movie,Light
255,"Documentary, Drama",None,Light,Not Rated,Light,Mully,Medium
256,Drama,Heavy,Light,PG-13,Light,Only The Brave (2017),Medium
257,Documentary,None,Medium,Not Rated,Light,Architects Of Denial,Medium
258,Drama,Light,None,PG-13,Light,Same Kind Of Different As Me,Light
259,Drama,Heavy,Medium,PG-13,Medium,The Mountain Between Us,Medium
260,Drama,Heavy,Light,PG-13,Light,Generational Sins,Medium
261,Drama,Light,None,PG,None,Goodbye Christopher Robin,Light
262,Drama,Heavy,Light,R,Medium,American Made,Medium
263,Science-Fiction,Medium,Light,PG-13,Medium,Flatliners (2017),Medium
264,Animation,Light,Light,PG,None,Lilo & Stitch,Light
265,Comedy,Medium,Light,PG-13,Medium,Home Again,Light
266,Science Fiction,Heavy,Medium,TV-MA,Heavy,What Happened To Monday?,Heavy
267,Drama,Light,None,None,None,The Next Station Is Love,Light
268,Drama,Light,Light,R,None,First They Killed My Father,Heavy
269,Comedy,Heavy,Medium,R,Light,Brad’S Status,Light
270,Horror,Heavy,Medium,R,Light,Friend Request,Heavy
271,Drama,Light,Light,PG,None,Joni,Light
272,Comedy,Light,Light,PG-13,Medium,Battle Of The Sexes,None
273,Drama,Heavy,Medium,R,Medium,Stronger,Heavy
274,Comedy,Heavy,Light,Not Yet Rated,Light,Killing Gunther,Heavy
275,Drama,Heavy,None,PG-13,Light,Victoria & Abdul,Light
276,Animated,Light,None,PG,None,The Lego Ninjago Movie,Medium
277,Drama,None,Light,PG,None,The Stray,Light
278,Spy Movie,Heavy,Medium,R,Light,Kingsman:  The Golden Circle,Heavy
279,Drama,Light,Light,PG-13,None,6 Below,Medium
280,Drama,None,Medium,Not Rated,Light,Polina,Light
281,Drama,None,None,Not Rated,None,Extraordinary,Light
282,Drama,Light,Medium,R,Medium,Mother!,Heavy
283,Drama,None,None,PG-13,Light,Because Of Gracia,None
284,Thriller,Heavy,Medium,R,None,American Assassin,Heavy
285,Documentary,Light,Light,PG-13,Medium,The Heart Of Man,Medium
286,Drama,None,None,PG,None,A Question Of Faith,None
287,Drama,Heavy,None,Not Rated,None,A Taxi Driver,Heavy
288,Drama,None,Medium,R,Heavy,Tulip Fever,None
289,Comedy,Light,None,Not Rated,Light,The Trip To Spain,None
290,Horror,Heavy,Light,R,Light,It,Heavy
291,Drama,Light,Medium,PG-13,Medium,Elizabeth Blue,Light
292,Animated,None,None,PG,None,Hoodwinked,Light
293,Drama,Light,None,PG,None,A Boy Called Po,Light
294,Drama,None,None,Not Yet Rated,None,Let There Be Light,Light
295,Action Adventure,None,None,Not Rated,None,Swallows And Amazons (2017),Medium
296,Documentary,None,None,Not Rated,Light,Steve Mcqueen:  American Icon,Light
297,Thriller,Heavy,Medium,R,Medium,Good Time,Heavy
298,Drama,Heavy,Medium,R,Medium,Patti Cake$,Light
299,Drama,Medium,Medium,R,Medium,Crown Heights,Medium
300,Comedy,Heavy,None,R,Medium,Ingrid Goes West,Medium
301,Thriller,Medium,Light,PG-13,Light,Birth Of The Dragon,Medium
302,Action,Heavy,Light,R,Light,Wolf Warrior 2,Heavy
303,Comedy,Light,None,PG-13,Light,Mubarakan,Light
304,Drama,Medium,None,PG,None,Stand And Deliver,Light
305,"Action, Comedy",Heavy,Light,R,Light,The Hitman’S Bodyguard,Heavy
306,Animated,None,None,PG,None,Leap,Light
307,Comedy,Heavy,None,PG-13,None,Logan Lucky,Light
308,Documentary,None,None,Not Rate,None,Exit,Light
309,Drama,Heavy,Light,R,None,Lucky,None
310,Drama,Heavy,Light,PG-13,Medium,The Glass Castle,Medium
311,Animated,None,None,PG,None,The Nut Job 2:  Nutty By Nature,Light
312,Drama,Medium,Medium,R,Light,The Only Living Boy In New York,Light
313,Documentary,Light,None,PG,Light,Step,Light
314,Drama,None,None,G,None,Parable,Light
315,Drama,Medium,Heavy,R,Heavy,Beach Rats,Light
316,Horror,Light,None,R,None,Annabelle:  Creation,Medium
317,Science Fiction,Medium,None,PG-13,None,The Dark Tower,Medium
318,Thriller,Heavy,None,R,None,Kidnap,Heavy
319,Drama,Heavy,Medium,R,Light,Detroit,Heavy
320,Documentary,None,None,PG,None,An Inconvenient Sequel:  Truth To Power,Light
321,Spy Movie,Heavy,Medium,R,Heavy,Atomic Blonde,Heavy
322,Animated,Light,None,PG,None,The Emoji Movie,Light
323,Action Adventure,Medium,Light,PG,None,The Incredible Adventures Of Jojo (And His Annoying Little Sister Avila),Medium
324,Drama,Heavy,Heavy,Not Rated,Medium,Person To Person,Light
325,Thriller,Heavy,Light,R,Medium,Wind River,Heavy
326,Drama,None,Light,PG,None,Menashe,None
327,Horror,Heavy,Light,PG-13,Light,Wish Upon,Heavy
328,Comedy,Heavy,Heavy,R,Medium,Girls Trip,Light
329,Comedy,Heavy,Light,R,Medium,Landline,Light
330,Drama,None,None,PG,None,All Saints,None
331,Comedy,Light,Heavy,Not Rated,Light,Lost In Paris,Light
332,Science Fiction,Light,Light,PG-13,Light,Valerian And The City Of A Thousand Planets,Medium
333,Drama,Light,None,PG-13,None,Dunkirk (2017),Medium
334,Comedy,Medium,None,PG-13,Light,Brigsby Bear,Light
335,Drama,Medium,Medium,R,Medium,Wakefield,Light
336,Science Fiction,Medium,None,** A Girl and Her Giant Pet Pig **,None,Okja,Heavy
