week,topicnumber,content
49,11,732.0
49,13,47.0
49,16,264.0
49,15,356.0
49,2,863.0
49,7,112.0
49,5,216.0
49,0,351.0
49,19,198.0
50,0,618.0
50,15,286.0
50,4,129.0
50,7,63.0
50,5,191.0
50,16,176.0
50,19,159.0
50,11,244.0
50,2,654.0
50,13,56.0
51,19,163.0
51,16,157.0
51,13,35.0
51,2,1281.0
51,15,279.0
51,11,376.0
51,0,653.0
51,4,370.0
51,5,233.0
51,7,90.0
52,5,164.0
52,13,36.0
52,0,260.0
52,19,76.0
52,16,124.0
52,11,495.0
52,2,548.0
52,7,65.0
52,15,202.0
52,4,211.0
53,7,78.0
53,0,290.0
53,19,95.0
53,16,190.0
53,2,434.0
53,13,60.0
53,4,173.0
53,15,214.0
53,5,187.0
53,11,314.0
54,5,125.0
54,7,49.0
54,0,302.0
54,16,82.0
54,4,124.0
54,11,302.0
54,13,69.0
54,2,291.0
54,15,127.0
54,19,81.0
55,11,189.0
55,16,83.0
55,15,106.0
55,2,188.0
55,19,39.0
55,13,23.0
55,4,72.0
55,0,144.0
55,7,32.0
55,5,59.0
56,7,160.0
56,16,98.0
56,0,808.0
56,19,62.0
56,11,280.0
56,5,66.0
56,4,242.0
56,13,40.0
56,2,346.0
56,15,120.0
57,11,989.0
57,4,261.0
57,5,129.0
57,0,423.0
57,19,78.0
57,16,91.0
57,15,161.0
57,2,328.0
57,7,118.0
57,13,40.0
58,13,29.0
58,16,78.0
58,15,104.0
58,11,1405.0
58,7,46.0
58,19,37.0
58,4,118.0
58,0,177.0
58,5,116.0
58,2,268.0
59,5,53.0
59,7,49.0
59,15,130.0
59,4,99.0
59,11,1142.0
59,19,52.0
59,13,34.0
59,16,103.0
59,0,270.0
59,2,234.0
60,16,125.0
60,0,270.0
60,7,57.0
60,5,48.0
60,19,49.0
60,15,129.0
60,4,104.0
60,13,21.0
60,2,255.0
60,11,797.0
61,5,26.0
61,2,286.0
61,16,75.0
61,15,187.0
61,19,66.0
61,13,22.0
61,4,89.0
61,0,294.0
61,7,52.0
61,11,132.0
62,2,234.0
62,15,145.0
62,13,10.0
62,11,119.0
62,16,165.0
62,4,234.0
62,0,223.0
62,7,43.0
62,5,35.0
62,19,54.0
63,5,41.0
63,11,309.0
63,2,181.0
63,16,87.0
63,19,52.0
63,0,180.0
63,7,16.0
63,13,31.0
63,15,114.0
63,4,95.0
64,11,99.0
64,0,129.0
64,19,24.0
64,4,75.0
64,16,47.0
64,2,125.0
64,7,31.0
64,5,32.0
64,13,10.0
64,15,70.0
65,4,74.0
65,5,39.0
65,7,33.0
65,13,9.0
65,16,47.0
65,11,224.0
65,0,127.0
65,19,43.0
65,2,128.0
65,15,77.0
66,7,14.0
66,2,130.0
66,5,20.0
66,4,71.0
66,16,51.0
66,11,32.0
66,13,13.0
66,19,25.0
66,0,104.0
66,15,38.0
67,2,162.0
67,4,87.0
67,15,75.0
67,19,21.0
67,5,28.0
67,0,136.0
67,16,45.0
67,11,37.0
67,13,16.0
67,7,16.0
68,0,110.0
68,15,60.0
68,11,46.0
68,2,151.0
68,7,17.0
68,13,16.0
68,19,32.0
68,16,43.0
68,5,19.0
68,4,73.0
69,11,38.0
69,16,47.0
69,0,141.0
69,7,22.0
69,4,81.0
69,15,88.0
69,19,34.0
69,13,11.0
69,5,27.0
69,2,170.0
70,4,152.0
70,13,26.0
70,16,72.0
70,15,78.0
70,5,50.0
70,11,71.0
70,0,264.0
70,2,400.0
70,7,36.0
70,19,74.0
71,16,69.0
71,0,133.0
71,19,36.0
71,2,237.0
71,11,232.0
71,4,116.0
71,13,18.0
71,15,168.0
71,5,26.0
71,7,20.0
72,13,13.0
72,11,34.0
72,0,104.0
72,5,34.0
72,19,25.0
72,15,96.0
72,16,45.0
72,4,107.0
72,2,144.0
72,7,23.0
73,15,88.0
73,16,67.0
73,4,110.0
73,11,428.0
73,7,24.0
73,19,40.0
73,2,237.0
73,5,28.0
73,0,126.0
73,13,16.0
74,16,100.0
74,19,26.0
74,4,116.0
74,11,175.0
74,13,17.0
74,5,30.0
74,0,130.0
74,2,188.0
74,7,21.0
74,15,80.0
75,2,189.0
75,5,43.0
75,15,105.0
75,11,22.0
75,4,148.0
75,0,84.0
75,19,28.0
75,13,10.0
75,16,49.0
75,7,10.0
76,2,173.0
76,15,95.0
76,13,15.0
76,4,92.0
76,16,51.0
76,5,51.0
76,11,44.0
76,19,26.0
76,7,17.0
76,0,121.0
77,16,63.0
77,19,24.0
77,7,29.0
77,4,128.0
77,13,12.0
77,5,40.0
77,2,230.0
77,0,140.0
77,15,86.0
77,11,161.0
78,2,149.0
78,19,23.0
78,0,99.0
78,13,9.0
78,11,28.0
78,4,162.0
78,16,42.0
78,7,20.0
78,15,82.0
78,5,42.0
79,0,89.0
79,5,43.0
79,16,47.0
79,2,165.0
79,4,196.0
79,13,10.0
79,15,145.0
79,11,64.0
79,7,24.0
79,19,41.0
80,0,92.0
80,15,178.0
80,7,18.0
80,13,8.0
80,19,45.0
80,5,49.0
80,4,106.0
80,11,50.0
80,2,144.0
80,16,49.0
81,13,8.0
81,5,30.0
81,11,30.0
81,19,29.0
81,0,120.0
81,15,100.0
81,2,115.0
81,7,17.0
81,16,49.0
81,4,107.0
82,13,26.0
82,5,34.0
82,7,49.0
82,11,110.0
82,15,186.0
82,0,197.0
82,2,230.0
82,16,58.0
82,4,324.0
82,19,58.0
83,11,103.0
83,2,173.0
83,4,180.0
83,15,106.0
83,13,14.0
83,16,33.0
83,19,45.0
83,0,128.0
83,7,28.0
83,5,55.0
84,16,63.0
84,15,109.0
84,19,38.0
84,11,60.0
84,5,53.0
84,4,198.0
84,0,115.0
84,7,38.0
84,2,156.0
84,13,15.0
85,5,33.0
85,11,169.0
85,7,18.0
85,15,91.0
85,2,135.0
85,19,23.0
85,16,33.0
85,0,111.0
85,4,115.0
85,13,9.0
86,7,18.0
86,2,166.0
86,16,56.0
86,4,271.0
86,0,134.0
86,5,31.0
86,15,117.0
86,13,9.0
86,11,20.0
86,19,22.0
87,16,44.0
87,19,40.0
87,7,25.0
87,13,6.0
87,2,153.0
87,15,111.0
87,11,28.0
87,4,198.0
87,5,20.0
87,0,175.0
88,11,72.0
88,19,66.0
88,13,28.0
88,5,52.0
88,0,195.0
88,7,24.0
88,16,58.0
88,4,397.0
88,2,182.0
88,15,115.0
89,19,298.0
89,15,618.0
89,11,583.0
89,5,285.0
89,2,680.0
89,13,90.0
89,0,822.0
89,7,194.0
89,4,1113.0
89,16,353.0
90,4,358.0
90,5,124.0
90,15,294.0
90,16,111.0
90,11,220.0
90,13,35.0
90,19,98.0
90,2,295.0
90,0,311.0
90,7,55.0
91,5,80.0
91,13,24.0
91,0,342.0
91,11,128.0
91,15,179.0
91,4,444.0
91,16,83.0
91,19,59.0
91,7,68.0
91,2,215.0
92,7,69.0
92,4,441.0
92,0,225.0
92,13,43.0
92,16,116.0
92,2,232.0
92,15,159.0
92,11,201.0
92,19,69.0
92,5,71.0
93,0,187.0
93,7,26.0
93,16,59.0
93,4,348.0
93,13,13.0
93,19,35.0
93,11,57.0
93,15,136.0
93,5,46.0
93,2,118.0
94,0,187.0
94,5,56.0
94,4,314.0
94,16,58.0
94,15,118.0
94,11,59.0
94,2,123.0
94,13,14.0
94,7,35.0
94,19,38.0
95,19,35.0
95,2,143.0
95,13,22.0
95,7,33.0
95,0,218.0
95,5,47.0
95,4,303.0
95,15,108.0
95,11,56.0
95,16,69.0
96,2,125.0
96,4,413.0
96,11,52.0
96,13,16.0
96,7,55.0
96,16,61.0
96,19,28.0
96,0,254.0
96,15,99.0
96,5,47.0
97,19,68.0
97,2,410.0
97,15,175.0
97,4,671.0
97,5,55.0
97,7,78.0
97,11,75.0
