author,account_category,followers
JANI_S_JAC,LeftTroll,955
SICCERTHANYOU,LeftTroll,954
JOHNIEVOGUE,LeftTroll,954
DATWISENIGGA,LeftTroll,945
JAYDAASTONISHIN,LeftTroll,943
ZZZACHARYZZZ,LeftTroll,939
JOHNBRANCHH,LeftTroll,938
MRCLYDEPRATT,LeftTroll,938
ACEJINEV,LeftTroll,928
ALECMOOOOODY,LeftTroll,926
JOHAAJOTS,RightTroll,925
HIIMKHLOE,LeftTroll,920
RISSTYTRT,RightTroll,919
PAULINETT,LeftTroll,917
SAMIRGOODEN,LeftTroll,917
DUTISITE,RightTroll,915
MRMORAAN,LeftTroll,914
T0NYASINCLAIR,HashtagGamer,911
WOKEFROMDAY1,LeftTroll,907
RAMONASNAILS,LeftTroll,903
ABIISSROSB,RightTroll,902
BLACK_ELEVATION,LeftTroll,900
BRIANTHELIFTER,LeftTroll,899
RANDOLPHBURRR,LeftTroll,892
RAPEDBYCOSBY,HashtagGamer,890
IVAASSNTR,RightTroll,889
WATCHMEWALKIN,LeftTroll,888
RLOVENOSAUSE,RightTroll,888
DAMANIMILES,LeftTroll,885
JAVONHIDP,LeftTroll,880
ILOVESARAHRICH,LeftTroll,877
BRIGHTNOOM,RightTroll,877
DEBORRTH,RightTroll,876
DRMICHAELGARCIA,LeftTroll,874
ERRIVVVVERS,LeftTroll,868
REGIEBLACKMON,LeftTroll,866
IMAPHARRELFAKE,LeftTroll,862
EXQUOTE,Commercial,858
STANLEYPARRIS,LeftTroll,858
BRICEGELLER,LeftTroll,854
JERY_ROBERTSYO,LeftTroll,848
ELIASBRICK,LeftTroll,846
MALLORYJARED,LeftTroll,845
HANDSOME_HENSON,RightTroll,840
TRAVISRESPEK,LeftTroll,838
ADRGREERR,LeftTroll,833
OGDEANDRE,LeftTroll,831
IMISSOBAMA,LeftTroll,828
RAVENICHOLSON,LeftTroll,827
CHADSLOYER,LeftTroll,819
BRIANAREGLAND,LeftTroll,817
NOJONATHONNO,LeftTroll,816
JOHNNYMARCH_,LeftTroll,816
COOKIIIEEESSSS,LeftTroll,814
JACKKRASSEN,LeftTroll,814
BIGSEANBEAST,LeftTroll,809
NOTBALLINYET,LeftTroll,808
BRENTMCCLURE275,LeftTroll,807
CHARLESRESPECK,LeftTroll,804
NEHEMIAHX,LeftTroll,800
RIOGITHIEF,RightTroll,798
PEYTONCASHOUT,LeftTroll,797
ALYSSABEDOLLA,HashtagGamer,794
CELIISSGONS,RightTroll,790
