author,account_category,tweets
BIGBOYSNEED,LeftTroll,1434
WOKEFROMDAY1,LeftTroll,1424
ANAALESSIS,RightTroll,1411
PAMELAKEALER13,RightTroll,1407
QUEENNARIELLE,LeftTroll,1400
AZUUMARSS,RightTroll,1400
C__WELLS,RightTroll,1398
MARIALOPTRUMP,RightTroll,1398
AFEELIUTR,RightTroll,1392
COOKIIIEEESSSS,LeftTroll,1390
MISSOURINEWSUS,RightTroll,1379
LIRASTERTTRUMP,RightTroll,1372
LUZMARTRUMPPT,RightTroll,1362
JANSKEESTR,RightTroll,1356
JUANTHOMSSTRUMT,RightTroll,1346
JOHNNYMARCH_,LeftTroll,1336
JEBLARY2016,RightTroll,1332
CLIFTONHUGHES_,LeftTroll,1305
CELIISSGONS,RightTroll,1294
TESSYELMORE,LeftTroll,1274
BLACNEIGHBOR,LeftTroll,1264
JANELPERKINSON,LeftTroll,1253
AANTIRACIST,LeftTroll,1252
AMBERRPAR,RightTroll,1231
SINCEREPRUITT,LeftTroll,1231
LACHRISTIE,RightTroll,1226
ISRAEL_WILLS,RightTroll,1219
AMYYSLEGENTR,RightTroll,1219
HERON_ANDREA,Commercial,1205
AURRLISTR,RightTroll,1199
CATTSADSTR,RightTroll,1176
CHELSSJOHNT,RightTroll,1173
ANNAMINGT,RightTroll,1146
IVAASSNTR,RightTroll,1145
KRISTYANANN,HashtagGamer,1139
CANDEYCHANEY,HashtagGamer,1133
KAHALEETR,RightTroll,1128
EMELDDTRS,RightTroll,1128
MSHEATHOWENS,RightTroll,1123
EVEWEBSTER373,RightTroll,1112
JOHAAJOTS,RightTroll,1111
CHARRISSTR,RightTroll,1110
ALANISSTRS,RightTroll,1104
SRAHSE,HashtagGamer,1101
ALBERTMORENMORE,RightTroll,1100
TRYTOFINDITOUT,HashtagGamer,1098
PATI_COOPER,RightTroll,1081
JSNCAREY,RightTroll,1074
WILLIAMS8KALVIN,LeftTroll,1063
SUSAYUNG,LeftTroll,1060
LYNSRODRIGUEZ,HashtagGamer,1059
JOHNIEVOGUE,LeftTroll,1054
ARAGARTRR,RightTroll,1051
NOTBALLINYET,LeftTroll,1045
JOHNBRANCHH,LeftTroll,1044
TESS_SNIDER,HashtagGamer,1033
BRICEGELLER,LeftTroll,1032
IANCALH0UN,LeftTroll,1014
MARTINIVINE,RightTroll,1008
PATRIOTRAPHAEL,RightTroll,1005
DUTISITE,RightTroll,1003
NEHEMIAHX,LeftTroll,984
HANDSOME_HENSON,RightTroll,984
BLACKTIVISTS,LeftTroll,984
JIHADIST2NDWIFE,RightTroll,982
WAYNE_DRAKE_,RightTroll,980
ITSTIMETOSECEDE,RightTroll,980
ARIEENSLPE,RightTroll,965
ALLBERRTOSS,RightTroll,962
KIRKSEYSUSANNA,Unknown,961
GAB1ALDANA,HashtagGamer,961
CLAARISRTR,RightTroll,946
FIGHTM_D_B,LeftTroll,945
ANGEELISTR,RightTroll,936
EDWARDBROBERTS,RightTroll,931
LELANDGRAVES_,RightTroll,927
ORRCLAY,RightTroll,919
_BILLY_MOYER_,RightTroll,915
LOGAN_WHATSUP,RightTroll,889
CLAYPAIGEBOO,LeftTroll,887
NJ_BLACKNEWS,LeftTroll,884
ANISILOPE,RightTroll,881
PORTMELA,RightTroll,877
ALAXXATR,RightTroll,862
BARRLAUTRS,RightTroll,860
APRRILSBRUSS,RightTroll,856
RISSTYTRT,RightTroll,851
CORYNAENAE,LeftTroll,844
RIGHTNPR,RightTroll,837
AMELINAASTR,RightTroll,834
JOHNCOPPER16,RightTroll,821
ANDRISNABRT,RightTroll,820
REACHITDOIT,RightTroll,819
AMIISTRS,RightTroll,816
DONTSHOOTCOM,LeftTroll,808
T0NYASINCLAIR,HashtagGamer,790
MUSLIMS_IN_USA,LeftTroll,781
JAMIE_MCCARTHY_,RightTroll,780
MANDY9STEVENS,RightTroll,776
ABIISSROSB,RightTroll,761
FREEDISCUSS,RightTroll,757
ASWWIMMORRIS,RightTroll,752
EDMUNDC0OKE,RightTroll,719
YAELTROUBLE,HashtagGamer,706
JOTEFOKIS,RightTroll,696
IGNITEDFIRESTAR,RightTroll,695
LGBTUNITEDCOM,LeftTroll,689
MICPARRISH,RightTroll,689
DANNY_TURNER_1,RightTroll,685
ARGENTINACATLE1,LeftTroll,680
GLENNHARPER_,RightTroll,678
ANDEERLWR,RightTroll,675
FIGHTTORESIST,LeftTroll,672
ANGTHEESTR,RightTroll,670
GIBBS_JEREMY_,RightTroll,648
MRJACKSJACKSON,RightTroll,632
RIOGITHIEF,RightTroll,624
ASHLEEYWES,RightTroll,621
MARKMCGREGORY,RightTroll,601
JAEDENMASSEY,LeftTroll,599
BRIANWARNING,RightTroll,584
ANNIJONSTR,RightTroll,581
