Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross
Horror,Medium,Light,PG-13,None,King Kong,Heavy,12/17/1976,23000000,52614445,90614445
Horror,Medium,Light,PG-13,None,King Kong,Heavy,4/7/1933,672000,10000000,10000650
Drama,None,Light,PG-13,Light,Memoirs Of A Geisha,Light,12/9/2005,85000000,57010853,161510853
Science Fiction,Heavy,None,PG-13,Light,Rampage,Medium,4/13/2018,120000000,99143797,424543797
Horror-mystery,None,None,R,Light,Rampage,Heavy,4/13/2018,120000000,99143797,424543797
Comedy,Heavy,Heavy,,Heavy,Blockers,Light,4/6/2018,21000000,59839515,93075524
Thriller,None,None,PG-13,None,A Quiet Place,Medium,4/6/2018,17000000,187643095,330249814
Action Adventure,Heavy,Light,PG-13,Light,Ready Player One,Medium,3/29/2018,150000000,137018455,578621729
Animated,None,Light,PG,None,Sherlock Gnomes,Light,3/23/2018,59000000,43242871,87502518
Biblical Drama,None,None,PG-13,Light,"Paul, Apostle Of Christ",Medium,3/23/2018,5000000,17547999,23349190
Science Fiction,Heavy,Light,PG-13,Light,Pacific Rim: Uprising,Medium,3/23/2018,155000000,59185715,289260123
Drama,None,None,PG,None,I Can Only Imagine,Light,3/16/2018,7000000,83482352,85406476
Romance,Heavy,Light,PG-13,Medium,"Love, Simon",None,3/16/2018,10000000,40826341,65526341
Thriller,Heavy,None,PG-13,Light,The Hurricane Heist,Heavy,3/9/2018,40000000,6115824,15962212
Spy Movie,Heavy,Heavy,R,Heavy,Red Sparrow,Heavy,3/2/2018,69000000,46874505,145951861
Comedy,Heavy,Light,R,Medium,Game Night,Medium,2/23/2018,37000000,69001013,117201013
Science Fiction,Heavy,Light,R,Medium,Annihilation,Heavy,2/23/2018,55000000,32732301,42872301
Science Fiction,Light,Light,PG-13,None,Black Panther,Medium,2/16/2018,200000000,699903880,1346915573
Drama,Medium,Light,Not Yet Rated,Light,The 33,Medium,11/13/2015,25000000,12227722,28400715
Romance,Heavy,Medium,R,Heavy,Fifty Shades Freed,Medium,2/9/2018,55000000,100407760,370527704
Drama,Heavy,Light,PG-13,Light,The 15:17 To Paris,Medium,2/9/2018,30000000,36250957,56096971
Animated,None,Light,PG,None,Early Man,Light,2/16/2018,50000000,8267544,44145911
Horror,Light,None,,Light,Winchester,Medium,2/2/2018,3500000,25091816,41254829
Science Fiction,Heavy,None,PG-13,None,Maze Runner: The Death Cure,Medium,1/26/2018,61000000,58032443,265878841
Fantasy,Medium,None,PG,None,Mighty Joe Young,Medium,12/25/1998,80000000,50632037,50632037
Thriller,Heavy,Medium,R,Light,Den Of Thieves,Medium,1/19/2018,30000000,44947622,79424321
Drama,Light,Light,PG,Light,Forever My Girl,None,1/19/2018,3500000,16376066,16376066
Drama,Heavy,None,R,None,12 Strong,Medium,1/19/2018,35000000,45500164,70022961
Fantasy,Heavy,Medium,NR,Light,Bright,Heavy,12/22/2017,90000000,0,0
Comedy,Heavy,Light,R,Medium,Father Figures,Medium,12/22/2017,25000000,17501244,21038826
Musical,Light,Light,PG,Light,The Greatest Showman,Light,12/20/2017,84000000,174312158,389980256
Comedy,Medium,None,PG-13,Light,Pitch Perfect 3,Light,12/22/2017,45000000,104897530,185736412
Animation,None,None,PG,None,Ferdinand,Light,12/15/2017,111000000,84410380,289889025
Comedy,Heavy,None,PG-13,Light,Jumanji: Welcome To The Jungle,Medium,12/20/2017,90000000,404508916,962148204
Drama,Heavy,None,PG-13,None,The Post,Medium,12/22/2017,50000000,81903458,177568086
Comedy,Heavy,None,PG-13,Light,Just Getting Started,Light,12/8/2017,22000000,6069605,6756452
Drama,Heavy,Light,R,Medium,"I, Tonya",Medium,12/8/2017,11000000,30014534,47533707
Fantasy,Heavy,Heavy,R,Heavy,The Shape Of Water,Heavy,12/1/2017,19500000,63859435,189996290
Comedy,Heavy,Heavy,R,Medium,Downsizing,Medium,12/22/2017,68000000,24449754,45140352
Drama,Heavy,Heavy,R,Medium,Lady Bird,Light,11/3/2017,10000000,48958273,77016151
