Country,Year,Top_1,Tax_Rev_to_GDP,1100,1200,2100,2200,2300,4100,4300,4400,4600,5100,5110,5120,5121,5200,6000,Top_1_AR1,Top_1_AR2,Tax_Rev_Change,Top_Marginal_Rate,GDP,TMC_SE,TMC_to_GDP,TMC_SE_Change,TMC_to_GDP_Change
United States,1980,0.1067100018,25.526,39.07539908467821,10.76050539777082,9.172652024437776,11.90944774125736,0.783114721790352,9.374794709527666,1.1530481529331904,0.13535485142444215,0.0,15.302351807651036,7.0247662425821735,8.277585565068867,6.223175378281912,2.331278603805812,0.0020529047233231873,0.1115000024,0.1062999964,1.4143822010329683,70.0,2857.3085,1221.3278571428573,0.4274399691677875,14.149845171102145,4.962024454647561
United States,1981,0.1105199978,25.94,39.78389540537621,9.121534822854262,9.527211170206382,12.003169534054482,0.7251509730709664,9.000636307973059,1.082443902848979,0.10349008920317436,0.0,16.227534126517234,6.680153194145968,9.547380932371267,7.704849146987143,2.423252854381521,0.0016808135137406502,0.1067100018,0.1115000024,1.6218757345451755,69.13,3207.04125,1343.6964822134387,0.4189832239337236,10.01931007754522,-1.9784638414907716
United States,1982,0.1126400009,26.045,40.0548665354308,7.377827262240231,10.047692563747912,12.43897819686526,0.911496146142412,9.40283859711549,1.1869766587657324,0.08149631831773232,0.0,15.943549451621607,6.953931623441094,8.989617828180506,7.139651402367983,2.5526713000958443,0.0016069696569693695,0.1105199978,0.1067100018,0.4047802621434095,50.0,3343.78925,1233.6875494071146,0.3689489549639274,-8.187037345302063,-11.941831107230874
United States,1983,0.1151399985,23.986,39.44120518709003,5.877762345466797,10.304276278093296,13.15761126161434,0.7742130667363413,10.228184289296241,0.9852995778269776,0.0775817415897725,0.0,16.538318733755965,7.436158363013793,9.102160370742169,7.095119569851071,2.614057765737519,0.0014897527927135044,0.1126400009,0.1105199978,-7.905548089844503,50.0,3634.0365,1688.2769565217393,0.4645734726444655,36.84801774428959,25.91808877460772
United States,1984,0.1249599978,24.092,37.33656437986917,7.574331876006704,10.207895039610797,13.8139566417935,0.8946328194339437,9.908554123796062,0.8460438512869399,0.12460553564971567,0.0,16.742135367016207,7.726159560829691,9.015975806186514,6.8057427434995565,2.549739489168666,0.0015408763682982151,0.1151399985,0.1126400009,0.4419244559326194,50.0,4037.614,1644.6352569169958,0.4073285006731688,-2.5849846161885672,-12.322049221933488
United States,1985,0.1255300045,24.614,37.83154533915809,7.532194176354362,10.478786145428511,13.698484177232938,0.9783963944765656,9.697601863327334,0.8178227408931933,0.148610075202306,0.0,16.282243245718817,7.878390225756463,8.403853019962353,6.239006125725992,2.532820394910245,0.0014954472976332679,0.1249599978,0.1151399985,2.166694338369592,50.0,4338.9805,1923.8406349206348,0.4433854069914891,16.976735530225255,8.852046016601122
United States,1986,0.1220899969,24.573,37.53269182008549,7.387509109381732,10.848896856088615,13.726397614095562,1.0496844740672968,9.903826206294914,0.8415206949194917,0.16773674197088898,0.0,16.037476572709267,8.041966101574703,7.995510471134564,5.730887142960997,2.502841417854211,0.001418492532523374,0.1255300045,0.1249599978,-0.1665718696676703,50.0,4579.6325,2418.8314229249013,0.5281715122173888,25.7293030940001,19.122439279452237
United States,1987,0.1330699921,25.611,38.19395617654769,8.551513922215817,10.48693882819446,13.259757095796356,1.1213615078051151,9.718974155050457,0.8463725915420464,0.2161428916166863,0.0,15.338208306910078,7.75845550831661,7.579752798593468,5.262069247500447,2.26549177719003,0.0012827471312562982,0.1220899969,0.1255300045,4.224148455622025,38.5,4855.21625,2843.664229249012,0.58569260004619,17.56355578556171,10.890607785208644
United States,1988,0.1487600058,25.4,36.70153520508127,8.851302023604473,10.879853450201399,13.517255129467811,1.326008841558021,9.911899226026382,0.8146735684186385,0.1811634938695233,0.0,15.549179480030038,7.882823122368183,7.666356357661859,5.3515561172098565,2.2658553660222136,0.0012742157202242019,0.1330699921,0.1220899969,-0.8238647456171257,28.0,5236.438,2636.870909090909,0.5035619459431981,-7.272072350564242,-14.022825983547456
United States,1989,0.1446499974,25.59,37.53455294941628,8.953720805261579,10.930197861826882,13.37663647327146,1.2780965037457404,9.844326961730324,0.846538626778415,0.17012276744086458,0.0,14.906567167065676,7.777228276710932,7.129338890354738,4.9159470581815725,2.158134741652381,0.0011051418104156855,0.1487600058,0.1330699921,0.7480314960629972,28.0,5641.579500000002,3172.6284523809527,0.562365283052548,20.317928399261397,11.677478328750212
United States,1990,0.14542,25.962,37.66607210838868,7.536525396270193,11.199339351061866,13.147403429370925,1.2245452724242842,10.405285191505095,1.0148716868513727,0.0,0.19144390055996696,15.150800721199836,8.089020125443422,7.061780595756412,4.184002581787191,2.4637129423677853,0.0,0.1446499974,0.1487600058,1.45369284876905,28.0,5963.1444999999985,3187.406798418973,0.5345177864495775,0.465807650023721,-4.951852015439648
United States,1991,0.1389099956,25.789,36.296194411419094,7.084488173992015,11.410422362362775,13.33887280015023,1.3289067843395128,11.058270543288549,0.979581223845332,0.0,0.20242292007780374,15.853803296171176,8.041396523450723,7.8124067727204505,4.793208940272363,2.447037484353518,0.0,0.14542,0.1446499974,-0.6663585239966038,31.0,6158.12925,3604.6006324110663,0.585340204155518,13.088816720822466,9.508087288080311
United States,1992,0.1501300037,25.671,35.77167583229286,7.527925772724239,11.346155679034704,13.387155574193914,1.3429151456810362,11.001015049418132,0.9408864764918364,0.0,0.21754462881596626,15.940624374529406,8.103239580255622,7.8373847942737855,4.760307755358793,2.5241014668178923,0.0,0.1389099956,0.14542,-0.4575594245608674,31.0,6520.3272499999985,4041.09933070866,0.6197694035538877,12.109488479050329,5.881912630286745
United States,1993,0.14643999929999998,25.874,35.770659825521584,8.393437759682305,11.14849318947601,13.263146421068658,1.3310904086314397,10.521182210101141,0.9909434611047528,0.0,0.20356002492388275,15.886503065761184,8.074641297794887,7.8118617679662945,4.652945046659238,2.4909836337290483,0.0,0.1501300037,0.1389099956,0.7907755833430835,39.6,6858.558499999999,4468.038932806324,0.65145451960588,10.564937091580823,5.1124040441982475
United States,1994,0.14687000220000002,26.208,35.52427124251864,8.677817284864284,11.030631693184818,13.121999075747175,1.3019101294643074,10.408233242488151,1.056020454679766,0.0,0.2120080614225099,16.205079715239922,8.111540150599335,8.093539564640585,4.867059825636552,2.462029100390437,0.0,0.14643999929999998,0.1501300037,1.2908711447785406,39.6,7287.2365,4571.2725,0.6272984964876603,2.31048942827444,-3.708013743282287
United States,1995,0.1528300047,26.465,36.283602610322475,9.248360066093282,10.935119505400106,12.907434454965172,1.3247862769594512,9.987491317783807,0.9879569872349541,0.0,0.2053909281311851,15.692142998804282,8.107567774680058,7.584575224124223,4.618978702533476,2.427714854305284,0.0,0.14687000220000002,0.14643999929999998,0.9806166056165976,39.6,7639.74925,5337.071785714285,0.6985925337424242,16.752431313475302,11.365249184232075
United States,1996,0.1596699953,26.954,37.82712991871407,9.323465470035725,10.681620339721466,12.488768302434199,1.272368471313862,9.726061541412573,1.058474995394649,0.0,0.2077560614067559,15.070549579820694,7.988073995967077,7.0824755838536175,4.5126393639659925,2.3438053197460142,0.0,0.1528300047,0.14687000220000002,1.8477234082750835,39.6,8073.121749999998,6575.227244094489,0.8144590714359646,23.19915317036523,16.585710853912612
United States,1997,0.1662900001,27.386,39.00695561864149,9.182690843455614,10.552368031454474,12.201325324928234,1.2338547551722177,9.48169531846967,1.144183105267306,0.0,0.19588631942331206,14.697276739012823,7.814328613426027,6.8829481255867995,4.2181645918468025,2.30376394417486,0.0,0.1596699953,0.1528300047,1.6027305780218095,39.6,8577.5525,8350.478458498023,0.9735269423880556,26.999085331962746,19.53049287935858
United States,1998,0.1692299992,27.786,40.3841067259659,8.418742298542544,10.567785496393581,12.089347993423864,1.2159987582637233,9.14703487948506,1.2826391330653464,0.0,0.19144754139384895,14.435500986736862,7.718681795575996,6.716819191160863,4.067794999477331,2.2673961867292607,0.0,0.1662900001,0.1596699953,1.4606003067260591,39.6,9062.81675,10140.07515873016,1.1188657388146086,21.431067802000264,14.929098528083642
United States,1999,0.1770900041,27.847,40.85502791767675,8.302483031714575,10.576295727536797,11.94816643788525,1.2105441270581403,9.025441722593216,1.3643991335647314,0.0,0.19072965411580545,14.3112365972551,7.753377896146718,6.55785870110838,3.9279751893096826,2.2156756505996293,0.0,0.1692299992,0.1662900001,0.21953501763477992,39.6,9630.6625,12165.045952380951,1.2631577477022946,19.96997815057988,12.89627556569543
United States,2000,0.1826599985,28.202,42.217887028813394,7.9064124474327695,10.534493781261345,11.83181330309893,1.184787939300768,8.780118135131303,1.2287455887292118,0.0,0.16714249759144836,13.930789339477744,7.6316685193580485,6.299120820119692,3.7441643289873774,2.2178099391630957,0.0,0.1770900041,0.1692299992,1.2748231407332942,39.6,10252.3465,13406.793849206348,1.3076805245712626,10.207506832987841,3.5247202457456863
United States,2001,0.1726800054,27.159,42.54452670814546,5.769483019219406,10.970212611276493,12.329507996532097,1.2409480822549253,9.290921926079683,1.2374468878779281,0.0,0.17557969821278274,14.111761528645316,7.734138378786919,6.377623149858396,3.8869566667606215,2.329611541755901,0.0,0.1826599985,0.1770900041,-3.6983192681369967,39.1,10581.82225,11021.522661290324,1.041552428391086,-17.79151089175005,-20.351155437405453
United States,2002,0.17057999969999998,24.942,38.04693523499967,5.727793717351672,11.802263823112881,13.270488729777787,1.3580349926497814,10.564937370675226,1.192439676062252,0.0,0.18893351846212836,15.263330118018185,8.255368460280652,7.007961657737534,4.2624541282894155,2.5848428188904333,0.0,0.1726800054,0.1826599985,-8.163039876284126,38.6,10936.41825,9371.384246031745,0.8568970234868025,-14.971964092168305,-17.728863172977825
United States,2003,0.1720200032,24.399,35.327344677518965,7.469443937285257,11.759122304090376,13.500117302457713,1.3912720583729814,10.930426345484328,0.99575969658747,0.0,0.204841791263238,15.632291402399066,8.42952633944447,7.202765062954597,4.3054589824644065,2.789380484540599,0.0,0.17057999969999998,0.1726800054,-2.1770507577579816,35.0,11458.245750000002,9272.425436507938,0.8092360417830919,-1.0559679010676608,-5.562043092386191
United States,2004,0.1832199991,24.623,34.30307676666781,9.06258695765126,11.498890052125427,13.398641361017985,1.3736877095370867,10.791946597570186,1.0011089553017458,0.0,0.1896475818556946,15.418146581726074,8.397728591044459,7.02041799068162,4.124682710860915,2.962267436546738,0.0,0.1720200032,0.17057999969999998,0.9180704127218337,35.0,12213.73025,11038.57992063492,0.903784486368112,19.047384055235163,11.683667027075249
United States,2005,0.193719998,25.933000000000003,35.35275702829482,11.02705769070165,10.685466959771283,12.484833462841742,1.3147370463767714,10.346320580135624,0.8924827227213238,0.0,0.18256064669689773,14.766573551411016,8.107559844331224,6.659013707079789,3.8911539910275343,2.9472103110488863,0.0,0.1832199991,0.1720200032,5.3202290541363855,35.0,13036.636999999999,11992.523849206347,0.9199093178099802,8.641908066346254,1.7841456326238174
United States,2006,0.201000005,26.663,36.415836502571274,11.50955074187623,10.370968676322436,11.976915360278435,1.2877294678123474,10.151226641561106,0.8913113723356733,0.0,0.17973480054387966,14.35844748392474,8.00788914507534,6.350558338849397,3.7180931547389466,2.8582786820889448,0.0,0.193719998,0.1832199991,2.814946207534789,35.0,13814.608999999999,13189.065059760957,0.954718664839588,9.977392795710763,3.783997656690565
United States,2007,0.1986699998,26.713,38.303914503571065,9.98393090278631,10.367159492703395,11.807789739463436,1.2886678675047436,10.441834897040524,0.8147324498817563,0.0,0.17942265605793606,14.036005030629624,7.899975150518063,6.136029880111559,3.5513765760482614,2.776542460361213,0.0,0.201000005,0.193719998,0.18752578479541204,35.0,14451.858999999999,14915.347768924305,1.032071221351129,13.0887420855185,8.102130958604201
United States,2008,0.1951999962,25.69,39.67201239677684,6.595593391793753,10.944426089265118,12.31921989697102,1.333854656922419,10.942812853995225,0.8955571466286752,0.0,0.18583941379557928,14.2309698079925,7.959173892049918,6.271795915942582,3.5410381941727893,2.8797143458588703,0.0,0.1986699998,0.201000005,-3.8295960768165296,35.0,14712.845,12348.741778656124,0.8393170578943859,-17.207818617649856,-18.676440101139555
United States,2009,0.1854099929,23.017,34.315424436151424,5.98301348833295,12.090262538126016,13.603989839971792,1.5041452236152877,13.110693605030372,0.7508070543055033,0.0,0.2240940748432808,15.506659121011074,8.484568685242232,7.022090435768843,4.282550163814214,2.910910618612311,0.0,0.1951999962,0.1986699998,-10.404826780848586,35.0,14448.9325,9721.398928571429,0.6728108757218867,-21.276198799669288,-19.838293599109868
United States,2010,0.1979999989,23.494,34.82819700310667,7.5957610662199855,11.559450096203316,13.142572882653699,1.4023943834049482,12.374007856104967,0.5553544333431013,0.0,0.21386478792864427,15.418115274218605,8.374972400804582,7.043142873414023,4.132929204827622,2.910282216816072,0.0,0.1854099929,0.1951999962,2.072381283399228,35.0,14992.052,11966.642976190476,0.7981991375290372,23.095894573570256,18.636479630715865
United States,2011,0.1959999949,23.9,38.792567317117864,7.392245879496017,8.512475882666964,13.100656993640802,1.2600347873788569,11.841808603528099,0.3877092338644708,0.0,0.19804745272512256,15.494785105881359,8.311710501659375,7.183074604221983,3.9514848399474465,3.019668743700449,0.0,0.1979999989,0.1854099929,1.7281007916914906,35.0,15542.58175,13398.819682539684,0.8620716878352391,11.968074164147367,8.002082099954464
United States,2012,0.2077900022,24.069000000000006,38.502717741328865,8.414267291577787,8.429897090340503,13.022757792971088,1.2124821019246343,11.372031317090581,0.4884955039781626,0.0,0.18778595262166586,15.359857098747616,8.220791697192492,7.139065401555121,3.96380605011107,3.009708366589668,0.0,0.1959999949,0.1979999989,0.7071129707113141,35.0,16197.00725,14459.29224,0.8927138215610788,7.914671460518592,3.5544762875562697
United States,2013,0.1959200054,25.653,38.86543532101553,8.26462241206005,10.662298616118637,12.133385777927296,1.2687274059017617,10.48046465848599,0.6102157049811717,0.0,0.1766727317609768,14.697468778594516,7.878249306672793,6.819219471921724,3.5775258992124166,2.840708593154056,0.0,0.2077900022,0.1959999949,6.5810793967343875,39.6,16784.8505,17420.76507936508,1.0378862224221228,20.48145089129949,16.261919257302708
United States,2014,0.2019999921,25.926,39.27768975719877,8.814244560729357,10.603059464379331,11.950516296717419,1.3050741627555376,10.03800884447746,0.5325387966033001,0.0,0.16964133804190407,14.555463615778415,7.808370577242553,6.747093038535862,3.4198476492419125,2.753763163318519,0.0,0.1959200054,0.2077900022,1.064203017190957,39.6,17521.747,20470.68507936508,1.1683016013965437,17.507382632767587,12.565479351876292
United States,2015,,26.226,40.52975671889614,8.521819305053219,10.571120032592814,11.791389486736515,1.2892428892563124,9.606790229843373,0.5391370555707472,0.0,0.1636433097015729,14.339730555788105,7.726964801167865,6.612765754620237,3.255563391721106,2.647370626980792,0.0,0.2019999921,0.1959200054,1.157139551029857,39.6,18219.2965,21681.4325,1.1900257784377128,5.9145427519442375,1.8594665123458791
United States,2016,,26.021,40.20288439838377,8.622990743485934,10.76571306218609,11.927643906877055,1.2993115846354868,9.52723577141492,0.5393636892405774,0.0,0.1640164551336033,14.314335840644464,7.776402129345137,6.537933711299328,3.194404392228506,2.6365045479980727,0.0,,0.2019999921,-0.7816670479676592,39.6,18707.18875,21695.012460317463,1.1597152704367435,0.06263405481839683,-2.5470463371609733
