Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross,Release_Year,Release_Month
Comedy,Heavy,Heavy,R,Medium,Baywatch,Heavy,2017-05-25,60000000,58060186,176533570,2017,May
Fantasy,Light,Light,PG-13,Light,Pirates Of The Caribbean: Dead Men Tell No Tales,Medium,2017-05-26,230000000,172558876,790094284,2017,May
Drama,Light,None,PG-13,Medium,"Everything, Everything",Light,2017-05-19,10000000,34121140,61621140,2017,May
Comedy,Light,Light,PG,None,Diary Of A Wimpy Kid: The Long Haul,Light,2017-05-19,22000000,20738724,35608734,2017,May
Comedy,Heavy,Medium,R,Medium,Snatched,Medium,2017-05-12,42000000,45852178,57852177,2017,May
Science Fiction,Heavy,Medium,R,Medium,Alien: Covenant,Heavy,2017-05-19,97000000,74262031,238862031,2017,May
Comedy,Medium,Light,PG-13,Light,How To Be A Latin Lover,Light,2017-04-28,10000000,32149404,62556228,2017,Apr
Comedy,Heavy,Medium,R,Medium,The Lovers,Light,2015-03-13,35000000,0,11106,2015,Mar
Thriller,Medium,None,PG-13,Light,The Circle,Light,2017-04-28,18000000,20497844,40651864,2017,Apr
Drama,Light,None,Unknown,None,The Circle,Light,2017-04-28,18000000,20497844,40651864,2017,Apr
Drama,Heavy,Light,R,Light,Sleight,Heavy,2017-04-28,250000,3930990,3934450,2017,Apr
Thriller,Heavy,None,R,Medium,Free Fire,Heavy,2017-04-21,10000000,1799322,3793739,2017,Apr
Thriller,Heavy,Light,PG-13,Light,The Fate Of The Furious,Medium,2017-04-14,250000000,225764765,1237466026,2017,Apr
Animated,Light,Light,PG,None,The Boss Baby,Light,2017-03-31,125000000,175003033,512017946,2017,Mar
Comedy,Medium,None,PG-13,Light,Going In Style,Light,2017-04-07,24000000,45018541,78697547,2017,Apr
Drama,None,None,Unknown,None,The Pledge,Light,2001-01-19,45000000,19719930,29406132,2001,Jan
Mystery,Heavy,Medium,R,Light,The Pledge,Heavy,2001-01-19,45000000,19719930,29406132,2001,Jan
Horror,Heavy,None,R,None,Life,Heavy,1999-04-16,75000000,64062587,73521587,1999,Apr
Horror,Heavy,None,R,None,Life,Heavy,2017-03-24,58000000,30234022,100996599,2017,Mar
Comedy,None,None,R,None,Life,None,1999-04-16,75000000,64062587,73521587,1999,Apr
Comedy,None,None,R,None,Life,None,2017-03-24,58000000,30234022,100996599,2017,Mar
Comedy,Heavy,Heavy,R,Heavy,Chips,Heavy,2017-03-24,25000000,18600152,23190697,2017,Mar
Comedy,Heavy,None,R,Medium,Wilson,Light,1944-08-01,5200000,2000000,2000000,1944,Aug
Science Fiction,Medium,Light,PG-13,Light,Power Rangers,Medium,2017-03-24,120000000,85364450,142766974,2017,Mar
Thriller,Heavy,None,R,Light,The Belko Experiment,Heavy,2017-03-17,5000000,10166820,10753399,2017,Mar
Science Fiction,Medium,Light,PG-13,None,Kong: Skull Island,Medium,2017-03-10,185000000,168052812,561089941,2017,Mar
Drama,None,Medium,R,Light,Bitter Harvest,Medium,2017-02-24,21000000,557241,606162,2017,Feb
Comedy,Heavy,Light,PG-13,Medium,Table 19,Light,2017-03-03,5000000,3614896,4620399,2017,Mar
Thriller,Medium,Medium,PG-13,Light,Collide,Heavy,2017-02-24,29200000,2280004,5284998,2017,Feb
Romance,Heavy,Medium,R,Heavy,Fifty Shades Darker,Medium,2017-02-10,55000000,114434010,381081967,2017,Feb
Horror,Heavy,None,PG-13,Light,Get Out,Heavy,2017-02-24,5000000,176040665,255209057,2017,Feb
Science Fiction,Heavy,Medium,R,None,Logan,Heavy,2017-03-03,127000000,226277068,615476965,2017,Mar
Comedy,Heavy,Medium,R,Medium,Fist Fight,Medium,2017-02-17,25000000,32187017,40287017,2017,Feb
Science Fiction,Light,None,PG-13,None,The Great Wall,Medium,2017-02-17,150000000,45157105,334550106,2017,Feb
Animated,None,Light,PG,None,The Lego Batman Movie,Light,2017-02-10,80000000,175750384,310854446,2017,Feb
Thriller,Medium,Medium,R,None,John Wick: Chapter Two,Heavy,2017-02-10,40000000,92029184,171529184,2017,Feb
Unknown,Light,Light,PG-13,Light,Rings,Heavy,2017-02-03,25000000,27793018,82933201,2017,Feb
Science Fiction,Light,None,R,None,Resident Evil: The Final Chapter,Heavy,2017-01-27,40000000,26844692,312796515,2017,Jan
Thriller,Heavy,Light,PG-13,Light,Xxx: Return Of Xander Cage,Heavy,2017-01-20,85000000,44898413,345053084,2017,Jan
Thriller,Light,Light,R,Light,Split,Medium,2017-01-20,5000000,138141585,278306227,2017,Jan
Horror,Heavy,Light,PG-13,Light,The Bye Bye Man,Heavy,2017-01-13,7400000,22395806,27162182,2017,Jan
Drama,Light,Light,Unknown,Light,The Fits,Light,2016-06-03,170000,166425,169242,2016,Jun
Comedy,Light,None,PG-13,Light,The Meddler,Light,2016-04-22,3200000,4267219,5526942,2016,Apr
Thriller,Medium,Heavy,Unknown,Heavy,The Neon Demon,Heavy,2016-06-24,7500000,1333124,3559803,2016,Jun
Comedy,None,Light,PG,None,The Resurrection Of Gavin Stone,Light,2017-01-20,2000000,2303792,2303792,2017,Jan
Thriller,Light,None,Unknown,None,Operation Chromite,Heavy,2016-08-05,12700000,1022720,49196532,2016,Aug
Science Fiction,Light,None,PG,None,Monster Trucks,Light,2017-01-13,125000000,33370166,61681268,2017,Jan
Comedy,Medium,Light,R,None,Paterson,Light,2016-12-28,5000000,2141423,10761547,2016,Dec
Comedy,Heavy,Medium,R,Heavy,Why Him?,None,2016-12-23,38000000,60323786,117523786,2016,Dec
Science Fiction,Light,Medium,PG-13,Medium,Passengers,Medium,2016-12-21,110000000,100014699,302239672,2016,Dec
Drama,None,Light,R,None,Silence,Heavy,2016-12-23,46500000,7100177,23666292,2016,Dec
Science Fiction,None,None,PG-13,None,Rogue One: A Star Wars Story,Medium,2016-12-16,200000000,532177324,1050988488,2016,Dec
Drama,Medium,None,PG,None,Hidden Figures,None,2016-12-25,25000000,169607287,231800856,2016,Dec
Thriller,Heavy,Medium,R,Medium,Live By Night,Heavy,2016-12-25,65000000,10378555,21778555,2016,Dec
Comedy,Heavy,Heavy,R,Heavy,Office Christmas Party,Medium,2016-12-09,45000000,54767494,91342494,2016,Dec
Fantasy,Light,None,PG-13,None,A Monster Calls,Light,2017-01-06,43000000,3740823,46422066,2017,Jan
Drama,Light,None,PG-13,Light,The Founder,None,2017-01-20,15000000,12786053,20815131,2017,Jan
Drama,Medium,None,PG-13,Light,Collateral Beauty,None,2016-12-16,36000000,31016021,85315070,2016,Dec
Drama,Heavy,Light,R,Light,Patriots Day,Heavy,2016-12-21,40000000,31886361,52461361,2016,Dec
Horror,Medium,None,PG-13,Light,Incarnate,Medium,2016-12-02,5000000,4799774,7799378,2016,Dec
Drama,Heavy,Light,R,Light,Miss Sloane,Light,2016-11-25,18000000,3500605,6954005,2016,Nov
Drama,None,Light,PG-13,Light,Lion,Light,2016-11-25,12000000,51739495,149875676,2016,Nov
Drama,Heavy,Heavy,R,Medium,Nocturnal Animals,Heavy,2016-11-18,22500000,10663357,32398726,2016,Nov
Animated,None,None,PG,None,Sing,Light,2016-12-21,75000000,270329045,634953727,2016,Dec
Drama,Heavy,Light,R,Medium,Manchester By The Sea,Light,2016-11-18,8500000,47695371,77761947,2016,Nov
Animated,None,Light,PG,None,Moana,Light,2016-11-23,150000000,248757044,639369553,2016,Nov
Fantasy,None,None,PG-13,None,Fantastic Beasts And Where To Find Them,Medium,2016-11-18,180000000,234037575,802442198,2016,Nov
Drama,Heavy,Heavy,R,Medium,Bleed For This,Medium,2016-11-18,16000000,5083906,6248077,2016,Nov
Comedy,Heavy,None,R,Medium,The Edge Of Seventeen,Light,2016-11-18,9000000,14431633,18802255,2016,Nov
Musical,Medium,Light,PG-13,Light,La La Land,None,2016-12-09,20000000,151101803,425742799,2016,Dec
Horror,Medium,Medium,PG-13,Light,Shut In,Medium,2016-11-11,10000000,6900335,11361962,2016,Nov
Comedy,Heavy,Light,PG-13,Light,Almost Christmas,Light,2016-11-11,17000000,42065185,42493506,2016,Nov
Drama,Light,None,R,None,Jackie,Heavy,2016-12-02,9000000,13960394,29158438,2016,Dec
Drama,None,None,PG-13,Light,Loving,Light,2016-11-04,9000000,7710234,12898064,2016,Nov
Animated,None,None,PG,None,Trolls,Light,2016-11-04,125000000,153707064,344527425,2016,Nov
Thriller,Light,None,PG-13,Medium,Inferno,Medium,2016-10-28,75000000,34343574,219561188,2016,Oct
Drama,Light,Light,Unknown,Light,The Perfect Wave,Light,2014-07-11,4000000,0,0,2014,Jul
Fantasy,Light,None,PG-13,None,Doctor Strange,Heavy,2016-11-04,165000000,232641920,677323653,2016,Nov
Thriller,Light,None,PG-13,None,Ouija: Origin Of Evil,Heavy,2016-10-21,9000000,35144505,81831866,2016,Oct
Thriller,Heavy,Light,PG-13,Light,Jack Reacher: Never Go Back,Heavy,2016-10-21,60000000,58697076,160038407,2016,Oct
Science Fiction,Light,None,PG-13,None,Arrival,Light,2016-11-11,47000000,100546139,203162211,2016,Nov
Thriller,Heavy,Light,R,None,The Accountant,Heavy,2016-10-14,40000000,86260045,153055291,2016,Oct
Thriller,Heavy,Medium,R,Medium,The Girl On The Train,Heavy,2016-10-07,45000000,75395035,170327930,2016,Oct
Drama,Heavy,Light,PG-13,Light,Deepwater Horizon,Medium,2016-09-30,156000000,61433527,122931214,2016,Sep
Action,Medium,Light,R,Light,Hacksaw Ridge,Heavy,2016-11-04,40000000,67209615,164770420,2016,Nov
Drama,Light,Light,R,Medium,The Dressmaker,Heavy,2016-09-23,11900000,2022115,24041617,2016,Sep
Horror,Heavy,None,R,None,Blair Witch,Heavy,2016-09-16,10000000,20777061,37493221,2016,Sep
Thriller,Heavy,Medium,R,Medium,Snowden,Light,2016-09-16,50000000,21587519,34301950,2016,Sep
Thriller,Heavy,Medium,PG-13,Medium,When The Bough Breaks,Medium,2016-09-09,10000000,29747603,30768449,2016,Sep
Animated,None,Light,PG,None,Storks,Light,2016-09-23,70000000,72679278,174030321,2016,Sep
Drama,Medium,Light,PG-13,None,Sully,Light,2016-09-09,60000000,125070033,238552082,2016,Sep
Comedy,Heavy,Light,PG-13,Light,Yoga Hosers,Heavy,2016-09-02,5000000,0,2199,2016,Sep
Western,Heavy,None,PG-13,Light,The Magnificent Seven,Heavy,2016-09-23,90000000,93432655,162526238,2016,Sep
Science Fiction,Medium,None,R,Light,Morgan,Heavy,2016-09-02,8000000,3915251,7298786,2016,Sep
Drama,Heavy,Medium,R,Medium,Hands Of Stone,Medium,2016-08-26,20000000,4712792,5032013,2016,Aug
Drama,Light,Light,PG-13,Medium,The Light Between Oceans,Light,2016-09-02,20000000,12545979,20376651,2016,Sep
Comedy,Heavy,Light,R,Light,War Dogs,Medium,2016-08-19,50000000,43034523,83034523,2016,Aug
Animated,None,None,PG,None,Kubo And The Two Strings,Medium,2016-08-19,55000000,48023088,77548564,2016,Aug
Comedy,Medium,Medium,PG-13,Medium,Florence Foster Jenkins,Light,2016-08-12,29000000,27383770,56017691,2016,Aug
Drama,Light,Light,PG,None,Greater,Light,2016-08-26,9000000,2000093,2000093,2016,Aug
Drama,Heavy,Light,R,Medium,Hell Or High Water,Medium,2016-08-12,12000000,27007844,37584304,2016,Aug
Animated,Heavy,None,R,Heavy,Sausage Party,Medium,2016-08-12,19000000,97670358,141354394,2016,Aug
Science Fiction,Heavy,Light,PG-13,None,Suicide Squad,Heavy,2016-08-05,175000000,325100054,746100054,2016,Aug
Thriller,Medium,Medium,PG-13,Light,Nerve,Medium,2016-07-27,20000000,38583626,61680792,2016,Jul
Comedy,Heavy,Heavy,R,Medium,Bad Moms,Light,2016-07-29,20000000,113257297,181457297,2016,Jul
Thriller,Medium,None,PG-13,None,Jason Bourne,Heavy,2016-07-29,120000000,162192920,416197059,2016,Jul
Animated,None,None,PG,None,Ice Age: Collision Course,Light,2016-07-22,105000000,64063008,403823272,2016,Jul
Science Fiction,Heavy,None,PG-13,Light,Star Trek Beyond,Medium,2016-07-22,185000000,158848340,336398312,2016,Jul
Horror,Light,Light,PG-13,Light,Lights Out,Medium,2016-07-22,5000000,67268835,148868835,2016,Jul
Thriller,Heavy,Light,R,Medium,The Infiltrator,Heavy,2016-07-13,47500000,15436808,18693373,2016,Jul
Horror,Medium,Light,PG-13,Light,The Darkness,Medium,2016-05-13,4000000,10753574,10898293,2016,May
Drama,Light,None,PG,None,The Dog Lover,Light,2016-07-08,2000000,0,0,2016,Jul
Comedy,Heavy,Heavy,R,Heavy,Mike And Dave Need Wedding Dates,Medium,2016-07-08,33000000,46009673,75909673,2016,Jul
Comedy,Heavy,Light,R,Medium,Swiss Army Man,Medium,2016-06-24,3000000,4210454,5837111,2016,Jun
Drama,Heavy,None,PG-13,Light,Genius,Light,2016-06-10,17000000,1361045,5653176,2016,Jun
Animated,None,None,PG,None,The Secret Life Of Pets,Light,2016-07-08,75000000,368384330,886779788,2016,Jul
Action,Light,Light,PG-13,Light,The Legend Of Tarzan,Medium,2016-07-01,180000000,126643061,349143061,2016,Jul
Fantasy,None,None,PG,None,The Bfg,Light,2016-07-01,140000000,55483770,199905224,2016,Jul
Drama,Light,None,PG-13,None,Extremely Loud And Incredibly Close,Light,2011-12-25,40000000,31847881,55247881,2011,Dec
Science Fiction,Heavy,Light,PG-13,Light,Independence Day: Resurgence,Medium,2016-06-24,165000000,103144286,387644286,2016,Jun
Thriller,Light,Light,PG-13,None,The Shallows,Heavy,2016-06-24,13000000,55121623,118888025,2016,Jun
Action,Heavy,None,PG-13,Light,Hunt For The Wilderpeople,Heavy,2016-06-24,2500000,5205471,23238220,2016,Jun
Comedy,Heavy,Light,PG-13,None,Central Intelligence,Medium,2016-06-17,50000000,127440871,217196811,2016,Jun
Animated,None,None,PG,None,Finding Dory,Light,2016-06-17,200000000,486295561,1021405367,2016,Jun
Thriller,Medium,None,PG-13,Light,Now You See Me 2,Medium,2016-06-10,90000000,65075540,328675540,2016,Jun
Fantasy,None,Light,PG-13,Light,Warcraft,Medium,2016-06-10,160000000,47225655,433125655,2016,Jun
Drama,Medium,Light,PG-13,Light,Me Before You,Light,2016-06-03,20000000,56245075,205445075,2016,Jun
Fantasy,None,None,PG,None,Alice Through The Looking Glass,Light,2016-05-27,170000000,77042381,276934087,2016,May
Thriller,Heavy,Heavy,R,Medium,The Nice Guys,Heavy,2016-05-20,50000000,36261763,57261763,2016,May
Animated,Light,None,PG,Light,The Angry Birds Movie,Medium,2016-05-20,73000000,107509366,352829528,2016,May
Comedy,Heavy,Medium,R,Heavy,The Lobster,Heavy,2016-03-25,4500000,9196278,18050296,2016,Mar
Thriller,Heavy,Light,R,Medium,Money Monster,Medium,2016-05-13,27000000,41012075,93469699,2016,May
Comedy,Heavy,Light,R,Medium,Compadres,Heavy,2016-04-22,3000000,3127773,7445044,2016,Apr
Comedy,Heavy,Medium,R,Light,Keanu,Heavy,2016-04-29,15000000,20591853,20688141,2016,Apr
Comedy,Medium,Medium,R,Medium,A Hologram For The King,Light,2016-04-22,35000000,4212494,11848058,2016,Apr
Comedy,Heavy,None,R,Light,The Boss,Medium,2016-04-08,29000000,63077560,78652395,2016,Apr
Horror,Heavy,None,R,None,Green Room,Heavy,2016-04-15,5000000,3220371,3807503,2016,Apr
Comedy,Heavy,Light,R,Light,Meet The Blacks,Heavy,2016-04-01,900000,9097072,9097072,2016,Apr
Romance,Light,Light,PG-13,Light,My Big Fat Greek Wedding 2,None,2016-03-25,18000000,59689605,92048018,2016,Mar
Science Fiction,Light,None,PG-13,None,Midnight Special,Medium,2016-03-18,18000000,3712282,7680250,2016,Mar
Comedy,Heavy,Medium,R,Heavy,Creative Control,Light,2016-03-11,1000000,63014,63014,2016,Mar
Romance,Heavy,Medium,R,Medium,The Perfect Match,Light,2016-03-11,5000000,9669521,9669521,2016,Mar
Drama,None,Light,PG,None,Miracles From Heaven,Light,2016-03-16,13000000,61705123,73798720,2016,Mar
