,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
728,4/28/2006,Akeelah and the Bee,8000000,18848430,18959424
729,10/14/1994,Wes Craven's New Nightmare,8000000,18090181,18090181
730,10/1/1999,Drive Me Crazy,8000000,17843379,22591451
731,9/18/2013,Enough Said,8000000,17550872,25621449
732,1/16/1998,Half Baked,8000000,17394881,17394881
733,1/30/2009,New in Town,8000000,16734283,29937909
734,6/27/2014,Begin Again,8000000,16170632,68838736
735,4/14/2000,American Psycho,8000000,15070285,34270285
736,5/19/2006,See No Evil,8000000,15032800,18828036
737,8/7/2002,The Good Girl,8000000,14018296,16585503
738,8/4/2006,"Bon Cop, Bad Cop",8000000,12671300,12740705
739,10/30/2009,The Boondock Saints 2: All Saints Day,8000000,10273187,10629320
740,4/29/2011,Prom,8000000,10130219,10763183
741,4/22/1994,The Inkwell,8000000,8864699,8864699
742,12/29/2000,Shadow of the Vampire,8000000,8279017,8279017
743,6/12/2015,Me and Earl and the Dying Girl,8000000,6758416,9266180
744,10/8/2010,It's Kind of a Funny Story,8000000,6363628,6632950
745,5/3/1996,The Pallbearer,8000000,5656388,5656388
746,9/22/2000,Woman on Top,8000000,5018450,10192613
747,5/12/2000,Held Up,8000000,4714090,4714090
748,9/2/2016,Morgan,8000000,3915251,7298786
749,12/30/2015,Anomalisa,8000000,3759286,5538273
750,12/23/2005,Cach̩,8000000,3647381,19891331
751,12/29/2010,Another Year,8000000,3205706,20005613
752,9/20/2002,8 femmes,8000000,3076425,42376425
753,1/1/1991,Showdown in Little Tokyo,8000000,2275557,2275557
754,9/25/1998,Clay Pigeons,8000000,1793359,2256606
755,11/19/2010,Made in Dagenham,8000000,1095369,15644196
756,6/6/2008,And When Did You Last See Your Father?,8000000,1071240,2476491
757,3/5/2010,The Secret of Kells,8000000,690290,3582797
758,1/24/1997,Prefontaine,8000000,590817,590817
759,10/28/1983,The Wicked Lady,8000000,589308,589308
760,5/5/2006,Down in the Valley,8000000,568932,973443
761,5/11/2007,Brooklyn Rules,8000000,458232,458232
762,10/24/2003,The Singing Detective,8000000,336456,524747
763,6/15/2007,Fido,8000000,298110,456814
764,9/16/2011,Restless,8000000,163753,2772511
765,6/12/1998,The Land Girls,8000000,146083,146083
766,5/18/2007,The Wendell Baker Story,8000000,127188,127188
767,10/29/2010,Wild Target,8000000,109338,5314194
768,4/18/2008,Pathology,8000000,109045,3270974
769,10/5/2012,Wuthering Heights,8000000,100915,2721534
770,11/18/2016,A Street Cat Named Bob,8000000,82703,8380561
771,8/18/2006,10th & Wolf,8000000,54702,143782
772,5/22/2015,Aloft,8000000,53086,53086
773,10/14/2011,Fireflies in the Garden,8000000,36884,3587191
774,9/23/2005,Dear Wendy,8000000,23106,446438
775,4/27/2001,Akira,8000000,19585,19585
776,12/31/2005,Welcome to Dongmakgol,8000000,0,48000000
777,9/20/2013,Feichang Xingyun,8000000,0,21970000
778,9/29/2017,"Don Gato, el inicio de la pandilla",8000000,0,4598934
779,9/4/2007,The Death and Life of Bobby Z,8000000,0,414617
780,4/24/2018,Backstabbing For Beginners,8000000,0,75858
781,8/12/2014,Swelter,8000000,0,44197
782,11/30/2007,Maurice Richard,8000000,0,0
783,2/24/2015,Green Street Hooligans: Underground,8000000,0,0
784,12/31/2009,Chirstmas in Beverly Hills,8000000,0,0
785,12/31/2015,Henry Joseph Church,8000000,0,0
786,5/6/2016,Code of Honor,8000000,0,0
787,1/27/2006,Imagine Me & You,7900000,672243,3129471
788,7/4/2003,Swimming Pool,7800000,10130108,24021282
789,2/23/1990,The Blood of Heroes,7700000,882290,882290
790,4/14/2015,Loin des hommes,7700000,5336,1080428
791,12/13/1989,Driving Miss Daisy,7500000,106593296,106593296
792,9/26/1997,Soul Food,7500000,43492389,43492389
793,2/23/1996,Rumble in the Bronx,7500000,32281907,36238752
794,3/17/2006,Thank You For Smoking,7500000,24793509,40016662
795,6/8/2007,Hostel: Part II,7500000,17544812,33606409
796,10/9/2009,An Education,7500000,12574914,29652736
797,9/4/2009,Extract,7500000,10823158,10849158
798,12/20/2002,Narc,7500000,10465659,11843260
799,10/21/2005,Shopgirl,7500000,10284523,11758418
